name,artist,popularity,genre,duration_ms,release_date,year,release_year,duration_min
i am not who i was,Chance Peña,83,pop,145438,2023-09-21,2023.0,2023,2.423966666666667
Losers (Feat. Jelly Roll),Post Malone,68,pop,209038,2024-08-16,2024.0,2024,3.483966666666667
Goes Without Saying (Feat. Brad Paisley),Post Malone,68,pop,212353,2024-08-16,2024.0,2024,3.5392166666666665
Have The Heart (Feat. Dolly Parton),Post Malone,68,pop,183333,2024-08-16,2024.0,2024,3.05555
Nosedive (Feat. Lainey Wilson),Post Malone,68,pop,192459,2024-08-16,2024.0,2024,3.20765
You Get Me So High,The Neighbourhood,83,pop,153000,2018-11-02,2018.0,2018,2.55
Von dutch,Charli xcx,82,pop,164284,2024-06-07,2024.0,2024,2.7380666666666666
I Had Some Help (Feat. Morgan Wallen),Post Malone,68,pop,178205,2024-08-16,2024.0,2024,2.970083333333333
Pour Me A Drink (Feat. Blake Shelton),Post Malone,68,pop,195122,2024-08-16,2024.0,2024,3.2520333333333333
Space Song,Beach House,77,pop,320466,2015-08-28,2015.0,2015,5.3411
Guy For That (Feat. Luke Combs),Post Malone,67,pop,164011,2024-08-16,2024.0,2024,2.7335166666666666
Good Days,SZA,81,pop,278480,2022-12-09,2022.0,2022,4.641333333333334
Ain’t How It Ends,Post Malone,67,pop,201961,2024-08-16,2024.0,2024,3.366016666666667
Ophelia,The Lumineers,82,pop,160097,2016-04-08,2016.0,2016,2.668283333333333
Hey Mercedes,Post Malone,67,pop,202638,2024-08-16,2024.0,2024,3.3773
Devil I've Been (Feat. ERNEST),Post Malone,67,pop,182924,2024-08-16,2024.0,2024,3.0487333333333333
Missin’ You Like This (Feat. Luke Combs),Post Malone,67,pop,222781,2024-08-16,2024.0,2024,3.713016666666667
Softcore,The Neighbourhood,85,pop,206280,2018-11-02,2018.0,2018,3.438
Budapest,George Ezra,84,pop,200733,2014-06-30,2014.0,2014,3.34555
Killed A Man,Post Malone,67,pop,185608,2024-08-16,2024.0,2024,3.0934666666666666
Straight and Narrow,Sam Barber,79,pop,199874,2023-09-21,2023.0,2023,3.3312333333333335
Just the Way You Are,Bruno Mars,84,pop,220734,2010-05-11,2010.0,2010,3.6789
California Sober (Feat. Chris Stapleton),Post Malone,67,pop,204411,2024-08-16,2024.0,2024,3.40685
Hide My Gun (Feat. HARDY),Post Malone,66,pop,220479,2024-08-16,2024.0,2024,3.67465
Yours,Post Malone,67,pop,199438,2024-08-16,2024.0,2024,3.3239666666666667
Island In The Sun,Weezer,80,pop,200306,2001-05-15,2001.0,2001,3.338433333333333
Hips Don't Lie (feat. Wyclef Jean),Shakira,87,pop,218093,2005-11-28,2005.0,2005,3.6348833333333332
Back To Texas,Post Malone,65,pop,167833,2024-08-16,2024.0,2024,2.7972166666666665
